Customer ID,Age,Gender,Location,Subscription Type,Subscription Duration,Monthly Charges,Total Charges,Payment Method,Tenure,Login Frequency,Time Spent on Platform,Number of Sessions,Feature Usage,Number of Purchases,Customer Support Tickets,Complaints,Satisfaction Score,Email Open Rate,Last Login Date,Renewal Status,Churn Status,Days Since Last Login
CUST1042,24.0,Female,Bengaluru,Premium,12,688,19264,Debit Card,28,47,277,84,9,39,8,3,8.0,0.44,05/02/2026,No,Yes,151
CUST1043,38.0,Male,Pune,Basic,6,207,3312,Net Banking,16,37,322,86,13,21,0,3,6.0,0.21,2026-05-13,No,No,54
CUST1044,34.0,Female,Bengaluru,Premium,6,714,714,PayPal,1,13,53,31,24,26,7,4,4.0,0.67,"Jan 22, 2026",No,Yes,165
CUST1045,46.0,Male,Delhi,Standard,3,404,6464,UPI,16,43,307,48,16,35,8,2,7.0,0.95,16/02/2026,No,Yes,140
CUST1046,40.0,Other,Kolkata,Standard,6,395,5925,Credit Card,15,47,108,41,4,34,2,1,4.0,0.71,2026-04-27,No,No,70
CUST1047,24.0,Male,Bengaluru,Basic,6,190,3800,Credit Card,20,46,283,17,9,2,0,4,5.0,0.68,"Jun 04, 2026",No,No,32
CUST1048,24.0,Male,Chennai,Standard,12,409,11861,UPI,29,12,36,33,16,7,1,3,8.0,0.12,26/01/2026,Yes,Yes,161
CUST1049,27.0,Male,Pune,Premium,6,684,10944,Credit Card,16,36,401,54,20,38,3,4,7.0,0.46,2026-03-15,No,Yes,113
CUST1050,55.0,Female,Bengaluru,Premium,24,682,4774,Debit Card,7,41,118,34,22,5,2,1,3.0,0.55,"May 27, 2026",Yes,Yes,40
CUST1051,44.0,Female,Hyderabad,Premium,12,697,2091,Debit Card,3,19,371,37,23,29,1,5,4.0,0.88,27/01/2026,Yes,Yes,160
CUST1052,45.0,Male,Chennai,Basic,3,196,1960,Credit Card,10,4,94,102,10,38,4,3,2.0,0.47,2026-04-20,No,Yes,77
CUST1053,35.0,Other,Chennai,Standard,12,384,1152,Net Banking,3,48,175,78,9,1,1,1,10.0,0.58,"Jul 01, 2026",No,No,5
CUST1054,54.0,Male,Pune,Basic,12,212,6148,UPI,29,12,309,56,21,31,1,3,6.0,0.42,15/04/2026,Yes,No,82
CUST1055,28.0,Female,Kolkata,Premium,12,697,18122,PayPal,26,3,242,12,11,16,5,0,7.0,0.83,2026-07-06,No,Yes,0
CUST1056,44.0,Male,Mumbai,Premium,6,718,22976,Net Banking,32,49,36,27,9,35,2,2,8.0,0.84,"Mar 04, 2026",Yes,Yes,124
CUST1057,19.0,Other,Chennai,Basic,3,198,7128,Credit Card,36,36,218,12,8,7,7,0,3.0,0.5,23/04/2026,No,Yes,74
CUST1058,44.0,Female,Kolkata,Basic,12,214,2140,Net Banking,10,13,481,77,17,8,1,2,7.0,0.36,2026-02-27,No,Yes,129
CUST1059,18.0,Female,Hyderabad,Standard,24,416,13312,Debit Card,32,29,285,62,12,21,8,4,7.0,0.46,"Apr 15, 2026",Yes,No,82
CUST1060,62.0,Male,Chennai,Standard,3,405,1215,UPI,3,48,252,91,13,24,2,3,1.0,0.16,05/02/2026,No,Yes,151
CUST1006,32.0,Male,Pune,Standard,12,396,1980,Debit Card,5,59,492,73,23,20,3,5,8.0,0.41,23/01/2026,No,Yes,164
CUST1013,22.0,Other,Hyderabad,Basic,3,183,549,UPI,3,5,273,31,9,31,3,4,3.0,0.7,2026-02-10,No,Yes,146
